MONTH,UE_BENEFITS_WEB_SEARCH,UNRATE
2004-01,,
2004-02,,
2004-03,,
2004-04,,
2004-05,,
2004-06,28.833333333333332,5.6499999999999995
2004-07,27.5,5.616666666666667
2004-08,26.333333333333332,5.583333333333333
2004-09,26.0,5.516666666666667
2004-10,25.5,5.5
2004-11,25.333333333333332,5.466666666666666
2004-12,24.166666666666668,5.433333333333334
2005-01,24.5,5.3999999999999995
2005-02,24.333333333333332,5.400000000000001
2005-03,24.333333333333332,5.366666666666667
2005-04,23.833333333333332,5.316666666666667
2005-05,23.666666666666668,5.266666666666667
2005-06,23.666666666666668,5.2
2005-07,23.0,5.1499999999999995
2005-08,22.5,5.066666666666667
2005-09,22.333333333333332,5.033333333333334
2005-10,21.833333333333332,5.0
2005-11,22.0,4.983333333333333
2005-12,21.666666666666668,4.966666666666667
2006-01,22.0,4.916666666666667
2006-02,22.0,4.8999999999999995
2006-03,21.833333333333332,4.8500000000000005
2006-04,21.833333333333332,4.8
2006-05,21.666666666666668,4.733333333333333
2006-06,22.0,4.683333333333334
2006-07,21.5,4.683333333333333
2006-08,21.5,4.666666666666667
2006-09,21.333333333333332,4.633333333333333
2006-10,21.666666666666668,4.583333333333333
2006-11,21.833333333333332,4.566666666666667
2006-12,21.666666666666668,4.533333333333333
2007-01,22.666666666666668,4.516666666666667
2007-02,23.333333333333332,4.483333333333333
2007-03,23.833333333333332,4.466666666666667
2007-04,24.333333333333332,4.483333333333333
2007-05,24.333333333333332,4.466666666666667
2007-06,25.0,4.5
2007-07,24.666666666666668,4.516666666666667
2007-08,24.5,4.533333333333333
2007-09,25.0,4.583333333333333
2007-10,25.166666666666668,4.616666666666667
2007-11,25.666666666666668,4.666666666666667
2007-12,26.166666666666668,4.733333333333333
2008-01,28.0,4.783333333333334
2008-02,28.833333333333332,4.833333333333333
2008-03,29.333333333333332,4.9
2008-04,30.5,4.95
2008-05,31.333333333333332,5.066666666666666
2008-06,33.5,5.166666666666667
2008-07,34.0,5.3
2008-08,35.333333333333336,5.5
2008-09,38.5,5.666666666666667
2008-10,42.666666666666664,5.916666666666667
2008-11,49.666666666666664,6.1499999999999995
2008-12,55.833333333333336,6.433333333333333
2009-01,65.33333333333333,6.766666666666667
2009-02,75.66666666666667,7.133333333333333
2009-03,81.66666666666667,7.566666666666666
2009-04,85.0,7.983333333333333
2009-05,85.0,8.416666666666666
2009-06,85.0,8.783333333333333
2009-07,82.33333333333333,9.066666666666666
2009-08,79.5,9.283333333333333
2009-09,79.0,9.466666666666667
2009-10,80.33333333333333,9.633333333333333
2009-11,83.0,9.716666666666667
2009-12,82.5,9.783333333333333
2010-01,81.83333333333333,9.833333333333334
2010-02,79.83333333333333,9.866666666666667
2010-03,79.33333333333333,9.883333333333335
2010-04,76.83333333333333,9.866666666666667
2010-05,72.5,9.816666666666666
2010-06,73.33333333333333,9.733333333333334
2010-07,76.0,9.666666666666668
2010-08,74.16666666666667,9.616666666666667
2010-09,69.66666666666667,9.55
2010-10,66.16666666666667,9.466666666666667
2010-11,65.0,9.5
2010-12,63.166666666666664,9.483333333333333
2011-01,58.333333333333336,9.433333333333334
2011-02,57.166666666666664,9.35
2011-03,56.333333333333336,9.266666666666667
